Parameter,Coefficient,P-Value
Prob ART Initiation | TB diagnosis | Before 2016 | Data - Slope,nan,nan
Prob ART Initiation | TB diagnosis | After 2016 | Data - Intercept,nan,nan
Prob ART Initiation | TB diagnosis | Before 2016 | Data,nan,nan
Prob ART Initiation | TB diagnosis | After 2016 | Data,nan,nan
Rate ART Initiation | HIV+ nIC | Model,nan,nan
Rate ART Initiation | HIV+ IC | Model,nan,nan
Prob: ART initiation upon TB diagnosis | HIV- | Model,nan,nan
Prob: ART initiation upon TB diagnosis | HIV nIC | Model,nan,nan
Prob: ART initiation upon TB diagnosis | HIV IC | Model,nan,nan
Children,nan,nan
Adults,nan,nan
% Children | Latent,-0.0674,0.5964
% Children | Infected,0.0954,0.4534
% Children | Recovered,0.0196,0.8781
% Children | Susceptible,0.0430,0.7356
% HIV+IC,-0.1513,0.2326
% HIV+nIC,0.1376,0.2781
% HIV-,0.0203,0.8733
% Ti | HIV+IC,0.0376,0.7681
% Tc | HIV+IC,-0.1693,0.1812
% Tn | HIV+IC,0.0515,0.6863
% Ti | HIV+nIC,0.0408,0.7492
% Tc | HIV+nIC,-0.1663,0.1891
% Tn | HIV+nIC,0.0826,0.5162
% Ti | HIV-,-0.1075,0.3980
% Tc | HIV-,-0.3095,0.0128
% Tn | HIV-,0.2756,0.0275
% L | HIV+IC and Ti,-0.0357,0.7793
% I | HIV+IC and Ti,0.0357,0.7793
% L | HIV+IC and Tc,0.1594,0.2083
% I | HIV+IC and Tc,-0.1594,0.2083
% L | HIV+IC and Tn,-0.0384,0.7631
% I | HIV+IC and Tn,0.0092,0.9427
% S | HIV+IC and Tn,-0.0054,0.9662
% L | HIV+nIC and Ti,0.1447,0.2540
% I | HIV+nIC and Ti,-0.1447,0.2540
% L | HIV+nIC and Tc,-0.1155,0.3635
% I | HIV+nIC and Tc,0.1155,0.3635
% L | HIV+nIC and Tn,0.0811,0.5239
% I | HIV+nIC and Tn,0.1104,0.3850
% S | HIV+nIC and Tn,-0.1335,0.2929
% L | HIV- and Ti,0.0209,0.8699
% I | HIV- and Ti,-0.0209,0.8699
% L | HIV- and Tc,0.3300,0.0077
% I | HIV- and Tc,-0.3300,0.0077
% L | HIV- and Tn,-0.1257,0.3222
% I | HIV- and Tn,-0.0121,0.9242
% S | HIV- and Tn,0.1257,0.3222
Initial size of S | Tn | HIV -,0.1440,0.2564
Initial size of L | Tn| HIV -,-0.0706,0.5793
Initial size of L | Ti <1| HIV -,nan,nan
Initial size of L | Tc <1| HIV -,nan,nan
Initial size of L | Tc+ <1| HIV -,nan,nan
Initial size of L | Ti >1| HIV -,-0.1066,0.4016
Initial size of L | Tc >1| HIV -,-0.2957,0.0177
Initial size of L | Tc+ >1| HIV -,nan,nan
Initial size of I | Tn| HIV -,0.1436,0.2575
Initial size of I | Ti <1| HIV -,nan,nan
Initial size of I | Tc <1| HIV -,nan,nan
Initial size of I | Tc+ <1| HIV -,nan,nan
Initial size of I | Ti >1| HIV -,-0.0777,0.5419
Initial size of I | Tc >1| HIV -,-0.3813,0.0019
Initial size of I | Tc+ >1| HIV -,nan,nan
Initial size of Ti | HIV -,nan,nan
Initial size of Tc | HIV -,nan,nan
Initial size of Tmdr | HIV -,nan,nan
Initial size of S | Tn | HIV+nIC,0.1629,0.1984
Initial size of L | Tn| HIV+nIC,0.0799,0.5303
Initial size of L | Ti <1| HIV+nIC,nan,nan
Initial size of L | Tc <1| HIV+nIC,nan,nan
Initial size of L | Tc+ <1| HIV+nIC,nan,nan
Initial size of L | Ti >1| HIV+nIC,-0.0826,0.5164
Initial size of L | Tc >1| HIV+nIC,-0.2430,0.0530
Initial size of L | Tc+ >1| HIV+nIC,nan,nan
Initial size of I | Tn| HIV+nIC,0.1422,0.2624
Initial size of I | Ti <1| HIV+nIC,nan,nan
Initial size of I | Tc <1| HIV+nIC,nan,nan
Initial size of I | Tc+ <1| HIV+nIC,nan,nan
Initial size of I | Ti >1| HIV+nIC,-0.0542,0.6705
Initial size of I | Tc >1| HIV+nIC,-0.3593,0.0035
Initial size of I | Tc+ >1| HIV+nIC,nan,nan
Initial size of Ti | HIV+nIC,nan,nan
Initial size of Tc | HIV+nIC,nan,nan
Initial size of Tmdr | HIV+nIC,nan,nan
Initial size of S | Tn | HIV+IC,0.0943,0.4585
Initial size of L | Tn| HIV+IC,-0.1893,0.1341
Initial size of L | Ti <1| HIV+IC,nan,nan
Initial size of L | Tc <1| HIV+IC,nan,nan
Initial size of L | Tc+ <1| HIV+IC,nan,nan
Initial size of L | Ti >1| HIV+IC,-0.1234,0.3311
Initial size of L | Tc >1| HIV+IC,-0.3204,0.0099
Initial size of L | Tc+ >1| HIV+IC,nan,nan
Initial size of I | Tn| HIV+IC,-0.1003,0.4305
Initial size of I | Ti <1| HIV+IC,nan,nan
Initial size of I | Tc <1| HIV+IC,nan,nan
Initial size of I | Tc+ <1| HIV+IC,nan,nan
Initial size of I | Ti >1| HIV+IC,-0.0947,0.4565
Initial size of I | Tc >1| HIV+IC,-0.3964,0.0012
Initial size of I | Tc+ >1| HIV+IC,nan,nan
Initial size of Ti | HIV+IC,nan,nan
Initial size of Tc | HIV+IC,nan,nan
Initial size of Tmdr | HIV+IC,nan,nan
Initial size of S | children,0.0430,0.7356
Initial size of L | children,-0.0674,0.5964
Initial size of I | children,0.0954,0.4534
Initial size of R| children,0.0196,0.8781
