Parameter,Coefficient,P-Value
Prob ART Initiation | TB diagnosis | Before 2016 | Data - Intercept,nan,nan
Prob ART Initiation | TB diagnosis | Before 2016 | Data - Slope,nan,nan
Prob ART Initiation | TB diagnosis | After 2016 | Data - Intercept,nan,nan
Prob ART Initiation | TB diagnosis | Before 2016 | Data,nan,nan
Prob ART Initiation | TB diagnosis | After 2016 | Data,nan,nan
Rate ART Initiation | HIV+ nIC | Model,nan,nan
Rate ART Initiation | HIV+ IC | Model,nan,nan
Prob: ART initiation upon TB diagnosis | HIV- | Model,nan,nan
Prob: ART initiation upon TB diagnosis | HIV nIC | Model,nan,nan
Prob: ART initiation upon TB diagnosis | HIV IC | Model,nan,nan
Children,nan,nan
Adults,nan,nan
% Children | Latent,0.1240,0.3288
% Children | Infected,-0.3277,0.0082
% Children | Recovered,0.0832,0.5131
% Children | Susceptible,-0.1282,0.3127
% HIV+IC,-0.0219,0.8637
% HIV+nIC,0.0362,0.7763
% HIV-,-0.0436,0.7323
% Ti | HIV+IC,-0.0631,0.6204
% Tc | HIV+IC,-0.0732,0.5656
% Tn | HIV+IC,0.1686,0.1828
% Ti | HIV+nIC,0.1863,0.1406
% Tc | HIV+nIC,0.0287,0.8218
% Tn | HIV+nIC,-0.1900,0.1327
% Ti | HIV-,0.1529,0.2276
% Tc | HIV-,0.0914,0.4724
% Tn | HIV-,-0.1985,0.1158
% L | HIV+IC and Ti,-0.1296,0.3075
% I | HIV+IC and Ti,0.1296,0.3075
% L | HIV+IC and Tc,-0.0549,0.6663
% I | HIV+IC and Tc,0.0549,0.6663
% L | HIV+IC and Tn,-0.0671,0.5982
% I | HIV+IC and Tn,0.0201,0.8744
% S | HIV+IC and Tn,0.0103,0.9356
% L | HIV+nIC and Ti,0.0668,0.5999
% I | HIV+nIC and Ti,-0.0668,0.5999
% L | HIV+nIC and Tc,0.0097,0.9393
% I | HIV+nIC and Tc,-0.0097,0.9393
% L | HIV+nIC and Tn,0.2204,0.0801
% I | HIV+nIC and Tn,-0.0005,0.9971
% S | HIV+nIC and Tn,-0.1952,0.1222
% L | HIV- and Ti,0.0191,0.8807
% I | HIV- and Ti,-0.0191,0.8807
% L | HIV- and Tc,-0.0250,0.8443
% I | HIV- and Tc,0.0250,0.8443
% L | HIV- and Tn,-0.1824,0.1492
% I | HIV- and Tn,0.1504,0.2356
% S | HIV- and Tn,0.1824,0.1492
Initial size of S | Tn | HIV -,0.1758,0.1646
Initial size of L | Tn| HIV -,-0.1926,0.1273
Initial size of L | Ti <1| HIV -,nan,nan
Initial size of L | Tc <1| HIV -,nan,nan
Initial size of L | Tc+ <1| HIV -,nan,nan
Initial size of L | Ti >1| HIV -,0.1462,0.2492
Initial size of L | Tc >1| HIV -,0.0904,0.4775
Initial size of L | Tc+ >1| HIV -,nan,nan
Initial size of I | Tn| HIV -,0.0390,0.7598
Initial size of I | Ti <1| HIV -,nan,nan
Initial size of I | Tc <1| HIV -,nan,nan
Initial size of I | Tc+ <1| HIV -,nan,nan
Initial size of I | Ti >1| HIV -,0.0415,0.7446
Initial size of I | Tc >1| HIV -,0.1488,0.2407
Initial size of I | Tc+ >1| HIV -,nan,nan
Initial size of Ti | HIV -,nan,nan
Initial size of Tc | HIV -,nan,nan
Initial size of Tmdr | HIV -,nan,nan
Initial size of S | Tn | HIV+nIC,0.1673,0.1864
Initial size of L | Tn| HIV+nIC,-0.1204,0.3432
Initial size of L | Ti <1| HIV+nIC,nan,nan
Initial size of L | Tc <1| HIV+nIC,nan,nan
Initial size of L | Tc+ <1| HIV+nIC,nan,nan
Initial size of L | Ti >1| HIV+nIC,0.1501,0.2365
Initial size of L | Tc >1| HIV+nIC,0.0738,0.5622
Initial size of L | Tc+ >1| HIV+nIC,nan,nan
Initial size of I | Tn| HIV+nIC,0.0254,0.8420
Initial size of I | Ti <1| HIV+nIC,nan,nan
Initial size of I | Tc <1| HIV+nIC,nan,nan
Initial size of I | Tc+ <1| HIV+nIC,nan,nan
Initial size of I | Ti >1| HIV+nIC,0.0734,0.5644
Initial size of I | Tc >1| HIV+nIC,0.1438,0.2569
Initial size of I | Tc+ >1| HIV+nIC,nan,nan
Initial size of Ti | HIV+nIC,nan,nan
Initial size of Tc | HIV+nIC,nan,nan
Initial size of Tmdr | HIV+nIC,nan,nan
Initial size of S | Tn | HIV+IC,0.1582,0.2117
Initial size of L | Tn| HIV+IC,-0.1265,0.3194
Initial size of L | Ti <1| HIV+IC,nan,nan
Initial size of L | Tc <1| HIV+IC,nan,nan
Initial size of L | Tc+ <1| HIV+IC,nan,nan
Initial size of L | Ti >1| HIV+IC,0.0895,0.4820
Initial size of L | Tc >1| HIV+IC,0.0880,0.4890
Initial size of L | Tc+ >1| HIV+IC,nan,nan
Initial size of I | Tn| HIV+IC,-0.0060,0.9628
Initial size of I | Ti <1| HIV+IC,nan,nan
Initial size of I | Tc <1| HIV+IC,nan,nan
Initial size of I | Tc+ <1| HIV+IC,nan,nan
Initial size of I | Ti >1| HIV+IC,0.0580,0.6491
Initial size of I | Tc >1| HIV+IC,0.1384,0.2754
Initial size of I | Tc+ >1| HIV+IC,nan,nan
Initial size of Ti | HIV+IC,nan,nan
Initial size of Tc | HIV+IC,nan,nan
Initial size of Tmdr | HIV+IC,nan,nan
Initial size of S | children,-0.1282,0.3127
Initial size of L | children,0.1240,0.3288
Initial size of I | children,-0.3277,0.0082
Initial size of R| children,0.0832,0.5131
